percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0003,0.0001,0.001,0.0001,0.0001,0.0001
20,0.0031,0.0046,0.0062,0.0016,0.0028,0.0015
30,0.0026,0.0036,0.0037,0.0043,0.0088,0.0049
40,0.0055,0.0136,0.0136,0.0173,0.0161,0.0418
50,0.0268,0.0242,0.0416,0.0315,0.0388,0.2011
60,0.0622,0.0572,0.0631,0.0684,0.0857,0.3979
70,0.181,0.0836,0.1561,0.1719,0.2252,0.4602
80,0.3286,0.1609,0.3418,0.3016,0.3436,0.5416
90,0.473,0.2735,0.4658,0.4689,0.4658,0.5778
100,0.5723,0.5723,0.5723,0.5723,0.5723,0.5723
