percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0979,0.2961,0.277,0.0574,0.2863,0.0164
20,0.4767,0.532,0.526,0.3903,0.5149,0.2123
30,0.5739,0.6234,0.6271,0.5565,0.6082,0.4729
40,0.5888,0.6441,0.6707,0.6319,0.645,0.6325
50,0.6442,0.6683,0.6666,0.6636,0.675,0.6966
60,0.6837,0.6855,0.6953,0.6988,0.7047,0.7124
70,0.7078,0.6916,0.7045,0.7028,0.711,0.7142
80,0.7143,0.7034,0.7039,0.6893,0.7127,0.7285
90,0.7224,0.7097,0.7319,0.7097,0.7184,0.7304
100,0.7289,0.7289,0.7289,0.7289,0.7289,0.7289
