percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0,0.0,0.0005,0.0,0.0,0.0
20,0.003,0.0042,0.0058,0.0012,0.0025,0.0014
30,0.0025,0.0027,0.0022,0.0031,0.0069,0.0036
40,0.0046,0.0115,0.0117,0.0153,0.0135,0.0363
50,0.0229,0.02,0.037,0.0284,0.0347,0.1925
60,0.0571,0.0526,0.0584,0.0621,0.0798,0.3917
70,0.1738,0.0787,0.1469,0.1636,0.2158,0.4532
80,0.3191,0.1529,0.3329,0.2938,0.3357,0.5359
90,0.4647,0.2648,0.4581,0.4613,0.4577,0.5732
100,0.5674,0.5674,0.5674,0.5674,0.5674,0.5674
