percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0072,0.0438,0.0377,0.0048,0.043,0.0013
20,0.0803,0.1104,0.1071,0.0675,0.0948,0.0172
30,0.1125,0.14,0.139,0.1154,0.1331,0.0715
40,0.1286,0.1517,0.1568,0.1437,0.1469,0.1264
50,0.1509,0.1599,0.1576,0.1583,0.1599,0.1574
60,0.1656,0.1685,0.1657,0.1696,0.1732,0.1678
70,0.177,0.1719,0.1733,0.1778,0.1769,0.1752
80,0.1802,0.1772,0.1801,0.1792,0.1814,0.1843
90,0.1818,0.1827,0.1877,0.1824,0.1851,0.1859
100,0.1874,0.1874,0.1874,0.1874,0.1874,0.1874
