percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0343,0.0374,0.041,0.037,0.0264,0.0302
20,0.0816,0.0781,0.0769,0.0773,0.0691,0.079
30,0.0991,0.1027,0.0931,0.0986,0.0976,0.0999
40,0.1089,0.1175,0.1044,0.1112,0.1069,0.1145
50,0.118,0.1232,0.1125,0.1177,0.1174,0.1225
60,0.122,0.1255,0.1206,0.1197,0.1204,0.1249
70,0.126,0.1277,0.1255,0.126,0.1235,0.1281
80,0.132,0.1318,0.1269,0.1283,0.129,0.1311
90,0.1333,0.1321,0.1323,0.1295,0.1303,0.1332
100,0.1335,0.1335,0.1335,0.1335,0.1335,0.1335
