percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0,0.0,0.0002,0.0,0.0,0.0
20,0.0015,0.001,0.001,0.0004,0.0006,0.0005
30,0.0009,0.0017,0.001,0.0017,0.0037,0.0013
40,0.0015,0.006,0.0068,0.006,0.0057,0.0148
50,0.0093,0.0095,0.0147,0.01,0.0149,0.0766
60,0.0254,0.0275,0.0253,0.0222,0.0346,0.1696
70,0.0724,0.0398,0.0695,0.0695,0.0853,0.2057
80,0.1267,0.0706,0.1444,0.1276,0.1427,0.2466
90,0.202,0.1187,0.2104,0.1963,0.2029,0.2597
100,0.264,0.264,0.264,0.264,0.264,0.264
