percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0278,0.0312,0.0336,0.0304,0.0219,0.025
20,0.0684,0.0646,0.0624,0.0633,0.0564,0.0662
30,0.0818,0.0855,0.0766,0.0806,0.0806,0.0822
40,0.0886,0.0978,0.0847,0.0922,0.0891,0.0955
50,0.0953,0.1018,0.0912,0.0971,0.0972,0.1011
60,0.0985,0.1028,0.0982,0.0984,0.0989,0.1023
70,0.1021,0.1041,0.1027,0.1032,0.1009,0.1053
80,0.1083,0.108,0.1037,0.1053,0.1049,0.1074
90,0.1089,0.1075,0.1082,0.1056,0.1068,0.1085
100,0.109,0.109,0.109,0.109,0.109,0.109
