percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0001,0.0,0.0,0.0001,0.0002
30,0.0,0.0004,0.0,0.0003,0.0013,0.0002
40,0.0001,0.0019,0.0033,0.0014,0.0013,0.0056
50,0.0021,0.0028,0.0031,0.0027,0.0053,0.0262
60,0.0078,0.0122,0.0094,0.0068,0.015,0.0675
70,0.0279,0.0173,0.0281,0.0256,0.0348,0.0879
80,0.0522,0.0322,0.0589,0.0525,0.059,0.1079
90,0.087,0.0534,0.0915,0.0837,0.0885,0.1125
100,0.1149,0.1149,0.1149,0.1149,0.1149,0.1149
