percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0003,0.0,0.0,0.0001,0.0002
30,0.0001,0.0007,0.0004,0.0004,0.0015,0.0003
40,0.0002,0.0028,0.0037,0.002,0.0019,0.0069
50,0.0028,0.0049,0.0043,0.0036,0.0065,0.0327
60,0.0099,0.0145,0.0106,0.0092,0.0171,0.0813
70,0.0328,0.0202,0.0333,0.0309,0.0415,0.1052
80,0.0635,0.0381,0.071,0.0636,0.0718,0.1313
90,0.1059,0.0635,0.1115,0.1031,0.1084,0.1389
100,0.1421,0.1421,0.1421,0.1421,0.1421,0.1421
