percentage,SCOR,SVAR,RFFI,RFPI,MWST,DCOI
10,0.0002,0.0,0.0004,0.0002,0.0001,0.0001
20,0.0011,0.0014,0.0005,0.0005,0.0008,0.0006
30,0.0007,0.0036,0.0032,0.0027,0.0052,0.0026
40,0.002,0.0088,0.0091,0.0088,0.0091,0.0212
50,0.0132,0.0174,0.0188,0.0129,0.0205,0.0839
60,0.032,0.0339,0.0296,0.0301,0.0414,0.1708
70,0.0798,0.0485,0.0811,0.0772,0.0964,0.2109
80,0.1413,0.0835,0.1555,0.1381,0.1547,0.2525
90,0.2162,0.134,0.2192,0.2089,0.2165,0.2673
100,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728
